Run,Dataset,Label_Ratio,GMean
9,INSECTS incremental_imbalanced,0.2,0.2628174
9,INSECTS incremental_imbalanced,0.5,0.353304714
9,INSECTS incremental_imbalanced,1,0.397326651
9,INSECTS incremental-abrupt_imbalanced,0.05,0.246779748
9,INSECTS incremental-abrupt_imbalanced,0.1,0.251887415
9,INSECTS incremental-abrupt_imbalanced,0.2,0.270840037
9,INSECTS incremental-abrupt_imbalanced,0.5,0.344653479
9,INSECTS incremental-abrupt_imbalanced,1,0.388659324
9,Keystroke,0.05,0.569867077
9,Keystroke,0.1,0.609237058
9,Keystroke,0.2,0.789391113
9,Keystroke,0.5,0.918363107
9,Keystroke,1,0.940603409
9,NOAA,0.05,0.545670153
9,NOAA,0.1,0.584757526
9,NOAA,0.2,0.629931717
9,NOAA,0.5,0.667585473
9,NOAA,1,0.673206388
9,Ozone,0.05,0.350642328
9,Ozone,0.1,0.405069061
9,Ozone,0.2,0.45303804
9,Ozone,0.5,0.460954359
9,Ozone,1,0.474968935
10,INSECTS incremental_imbalanced,0.05,0.259229751
10,INSECTS incremental_imbalanced,0.1,0.245981454
10,INSECTS incremental_imbalanced,0.2,0.261899764
10,INSECTS incremental_imbalanced,0.5,0.3487794
10,INSECTS incremental_imbalanced,1,0.397326651
10,INSECTS incremental-abrupt_imbalanced,0.05,0.249365001
10,INSECTS incremental-abrupt_imbalanced,0.1,0.266200698
10,INSECTS incremental-abrupt_imbalanced,0.2,0.277383573
10,INSECTS incremental-abrupt_imbalanced,0.5,0.345892777
10,INSECTS incremental-abrupt_imbalanced,1,0.388659324
10,Keystroke,0.05,0.548614283
10,Keystroke,0.1,0.675411035
10,Keystroke,0.2,0.789573803
10,Keystroke,0.5,0.910007043
10,Keystroke,1,0.940603409
10,NOAA,0.05,0.530071872
10,NOAA,0.1,0.589291467
10,NOAA,0.2,0.617074442
10,NOAA,0.5,0.659853295
10,NOAA,1,0.673206388
10,Ozone,0.05,0.446317139
10,Ozone,0.1,0.409558537
10,Ozone,0.2,0.547780282
10,Ozone,0.5,0.473426991
10,Ozone,1,0.474968935
11,INSECTS incremental_imbalanced,0.05,0.248077401
11,INSECTS incremental_imbalanced,0.1,0.247947746
11,INSECTS incremental_imbalanced,0.2,0.269894347
11,INSECTS incremental_imbalanced,0.5,0.359527902
11,INSECTS incremental_imbalanced,1,0.397326651
11,INSECTS incremental-abrupt_imbalanced,0.05,0.249901536
11,INSECTS incremental-abrupt_imbalanced,0.1,0.254606006
11,INSECTS incremental-abrupt_imbalanced,0.2,0.268547959
11,INSECTS incremental-abrupt_imbalanced,0.5,0.338877129
11,INSECTS incremental-abrupt_imbalanced,1,0.388659324
11,Keystroke,0.05,0.620299406
11,Keystroke,0.1,0.665703912
11,Keystroke,0.2,0.765812154
11,Keystroke,0.5,0.925149297
11,Keystroke,1,0.940603409
11,NOAA,0.05,0.544333078
11,NOAA,0.1,0.578017987
11,NOAA,0.2,0.627033204
11,NOAA,0.5,0.663828585
11,NOAA,1,0.673206388
11,Ozone,0.05,0.285975963
11,Ozone,0.1,0.392639515
11,Ozone,0.2,0.482659357
11,Ozone,0.5,0.510593408
11,Ozone,1,0.474968935
12,INSECTS incremental_imbalanced,0.05,0.246589543
12,INSECTS incremental_imbalanced,0.1,0.246995482
12,INSECTS incremental_imbalanced,0.2,0.272298545
12,INSECTS incremental_imbalanced,0.5,0.348912467
12,INSECTS incremental_imbalanced,1,0.397326651
12,INSECTS incremental-abrupt_imbalanced,0.05,0.260638767
12,INSECTS incremental-abrupt_imbalanced,0.1,0.254467084
12,INSECTS incremental-abrupt_imbalanced,0.2,0.268136097
12,INSECTS incremental-abrupt_imbalanced,0.5,0.339041933
12,INSECTS incremental-abrupt_imbalanced,1,0.388659324
12,Keystroke,0.05,0.571800523
12,Keystroke,0.1,0.692881446
12,Keystroke,0.2,0.781783866
12,Keystroke,0.5,0.914452387
12,Keystroke,1,0.940603409
12,NOAA,0.05,0.552016382
12,NOAA,0.1,0.573816131
12,NOAA,0.2,0.625463337
12,NOAA,0.5,0.663244416
12,NOAA,1,0.673206388
12,Ozone,0.05,0.37527393
12,Ozone,0.1,0.440935978
12,Ozone,0.2,0.495659916
12,Ozone,0.5,0.482233356
12,Ozone,1,0.474968935
13,INSECTS incremental_imbalanced,0.05,0.240469875
13,INSECTS incremental_imbalanced,0.1,0.25964556
13,INSECTS incremental_imbalanced,0.2,0.259698518
13,INSECTS incremental_imbalanced,0.5,0.348709159
13,INSECTS incremental_imbalanced,1,0.397326651
