Run,Dataset,Label_Ratio,GMean,Labeling Strategy
4,INSECTS incremental-abrupt_imbalanced,0.2,0.269209632,Non_Uniform
4,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753,Uniform
4,INSECTS incremental-abrupt_imbalanced,0.5,0.343706388,Non_Uniform
4,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Uniform
4,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Non_Uniform
4,Keystroke,0.05,0.497770431,Uniform
4,Keystroke,0.05,0.520282052,Non_Uniform
4,Keystroke,0.1,0.703439806,Uniform
4,Keystroke,0.1,0.681957416,Non_Uniform
4,Keystroke,0.2,0.808101158,Uniform
4,Keystroke,0.2,0.778794242,Non_Uniform
4,Keystroke,0.5,0.684794435,Uniform
4,Keystroke,0.5,0.924107119,Non_Uniform
4,Keystroke,1,0.940603409,Uniform
4,Keystroke,1,0.940603409,Non_Uniform
4,NOAA,0.05,0.527224883,Uniform
4,NOAA,0.05,0.549819551,Non_Uniform
4,NOAA,0.1,0.555774044,Uniform
4,NOAA,0.1,0.578400211,Non_Uniform
4,NOAA,0.2,0.564626106,Uniform
4,NOAA,0.2,0.608368351,Non_Uniform
4,NOAA,0.5,0.65697857,Uniform
4,NOAA,0.5,0.657823484,Non_Uniform
4,NOAA,1,0.673206388,Uniform
4,NOAA,1,0.673206388,Non_Uniform
4,Ozone,0.05,0.459718001,Uniform
4,Ozone,0.05,0.304615978,Non_Uniform
4,Ozone,0.1,0.500547761,Uniform
4,Ozone,0.1,0.493646394,Non_Uniform
4,Ozone,0.2,0.526925722,Uniform
4,Ozone,0.2,0.524766068,Non_Uniform
4,Ozone,0.5,0.485630903,Uniform
4,Ozone,0.5,0.47167336,Non_Uniform
4,Ozone,1,0.474968935,Uniform
4,Ozone,1,0.474968935,Non_Uniform
5,INSECTS incremental_imbalanced,0.05,0.241775004,Uniform
5,INSECTS incremental_imbalanced,0.05,0.252895613,Non_Uniform
5,INSECTS incremental_imbalanced,0.1,0.242432147,Uniform
5,INSECTS incremental_imbalanced,0.1,0.251342382,Non_Uniform
5,INSECTS incremental_imbalanced,0.2,0.198063957,Uniform
5,INSECTS incremental_imbalanced,0.2,0.264529632,Non_Uniform
5,INSECTS incremental_imbalanced,0.5,0.140975782,Uniform
5,INSECTS incremental_imbalanced,0.5,0.346650301,Non_Uniform
5,INSECTS incremental_imbalanced,1,0.397326651,Uniform
5,INSECTS incremental_imbalanced,1,0.397326651,Non_Uniform
5,INSECTS incremental-abrupt_imbalanced,0.05,0.263494076,Uniform
5,INSECTS incremental-abrupt_imbalanced,0.05,0.256837837,Non_Uniform
5,INSECTS incremental-abrupt_imbalanced,0.1,0.246993937,Uniform
5,INSECTS incremental-abrupt_imbalanced,0.1,0.254176069,Non_Uniform
5,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247,Uniform
5,INSECTS incremental-abrupt_imbalanced,0.2,0.270830974,Non_Uniform
5,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753,Uniform
5,INSECTS incremental-abrupt_imbalanced,0.5,0.344813338,Non_Uniform
5,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Uniform
5,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Non_Uniform
5,Keystroke,0.05,0.60143995,Uniform
5,Keystroke,0.05,0.589997541,Non_Uniform
5,Keystroke,0.1,0.718405722,Uniform
5,Keystroke,0.1,0.620890527,Non_Uniform
5,Keystroke,0.2,0.74264432,Uniform
5,Keystroke,0.2,0.772366336,Non_Uniform
5,Keystroke,0.5,0.684794435,Uniform
5,Keystroke,0.5,0.913705754,Non_Uniform
5,Keystroke,1,0.940603409,Uniform
5,Keystroke,1,0.940603409,Non_Uniform
5,NOAA,0.05,0.527224883,Uniform
5,NOAA,0.05,0.544525938,Non_Uniform
5,NOAA,0.1,0.568087838,Uniform
5,NOAA,0.1,0.574193143,Non_Uniform
5,NOAA,0.2,0.576154674,Uniform
5,NOAA,0.2,0.622771661,Non_Uniform
5,NOAA,0.5,0.65697857,Uniform
5,NOAA,0.5,0.667582244,Non_Uniform
5,NOAA,1,0.673206388,Uniform
5,NOAA,1,0.673206388,Non_Uniform
5,Ozone,0.05,0.336739118,Uniform
5,Ozone,0.05,0.353236511,Non_Uniform
5,Ozone,0.1,0.529920032,Uniform
5,Ozone,0.1,0.430155468,Non_Uniform
5,Ozone,0.2,0.529621612,Uniform
5,Ozone,0.2,0.522103146,Non_Uniform
5,Ozone,0.5,0.485630903,Uniform
5,Ozone,0.5,0.524996989,Non_Uniform
5,Ozone,1,0.474968935,Uniform
5,Ozone,1,0.474968935,Non_Uniform
6,INSECTS incremental_imbalanced,0.05,0.258671007,Uniform
6,INSECTS incremental_imbalanced,0.05,0.25230274,Non_Uniform
6,INSECTS incremental_imbalanced,0.1,0.233883403,Uniform
6,INSECTS incremental_imbalanced,0.1,0.248251697,Non_Uniform
6,INSECTS incremental_imbalanced,0.2,0.202891199,Uniform
6,INSECTS incremental_imbalanced,0.2,0.254961198,Non_Uniform
6,INSECTS incremental_imbalanced,0.5,0.140975782,Uniform
6,INSECTS incremental_imbalanced,0.5,0.347937391,Non_Uniform
6,INSECTS incremental_imbalanced,1,0.397326651,Uniform
6,INSECTS incremental_imbalanced,1,0.397326651,Non_Uniform
6,INSECTS incremental-abrupt_imbalanced,0.05,0.236757348,Uniform
6,INSECTS incremental-abrupt_imbalanced,0.05,0.257426363,Non_Uniform
6,INSECTS incremental-abrupt_imbalanced,0.1,0.246661802,Uniform
6,INSECTS incremental-abrupt_imbalanced,0.1,0.248427169,Non_Uniform
6,INSECTS incremental-abrupt_imbalanced,0.2,0.245814772,Uniform
6,INSECTS incremental-abrupt_imbalanced,0.2,0.27392352,Non_Uniform
6,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753,Uniform
6,INSECTS incremental-abrupt_imbalanced,0.5,0.34272526,Non_Uniform
6,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Uniform
6,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Non_Uniform
6,Keystroke,0.05,0.522383044,Uniform
6,Keystroke,0.05,0.563288991,Non_Uniform
6,Keystroke,0.1,0.67448349,Uniform
6,Keystroke,0.1,0.648722985,Non_Uniform
6,Keystroke,0.2,0.759429881,Uniform
6,Keystroke,0.2,0.758870927,Non_Uniform
6,Keystroke,0.5,0.684794435,Uniform
6,Keystroke,0.5,0.928235031,Non_Uniform
6,Keystroke,1,0.940603409,Uniform
6,Keystroke,1,0.940603409,Non_Uniform
6,NOAA,0.05,0.525271946,Uniform
6,NOAA,0.05,0.527035728,Non_Uniform
6,NOAA,0.1,0.562893313,Uniform
6,NOAA,0.1,0.58076393,Non_Uniform
6,NOAA,0.2,0.576886398,Uniform
6,NOAA,0.2,0.617389563,Non_Uniform
6,NOAA,0.5,0.65697857,Uniform
6,NOAA,0.5,0.665489682,Non_Uniform
6,NOAA,1,0.673206388,Uniform
6,NOAA,1,0.673206388,Non_Uniform
6,Ozone,0.05,0.459718001,Uniform
6,Ozone,0.05,0.274389941,Non_Uniform
6,Ozone,0.1,0.430694173,Uniform
6,Ozone,0.1,0.452857705,Non_Uniform
6,Ozone,0.2,0.529621612,Uniform
6,Ozone,0.2,0.501320978,Non_Uniform
6,Ozone,0.5,0.521537607,Uniform
6,Ozone,0.5,0.525689141,Non_Uniform
6,Ozone,1,0.474968935,Uniform
6,Ozone,1,0.474968935,Non_Uniform
7,INSECTS incremental_imbalanced,0.05,0.256502765,Uniform
7,INSECTS incremental_imbalanced,0.05,0.244621361,Non_Uniform
7,INSECTS incremental_imbalanced,0.1,0.247064631,Uniform
7,INSECTS incremental_imbalanced,0.1,0.246273941,Non_Uniform
