Run,Dataset,LR_5,LR_10,LR_20,LR_50,LR_100
16,Keystroke,0.543088423,0.679880685,0.783850619,0.929929169,0.940603409
16,NOAA,0.545730737,0.564243526,0.632313588,0.661538449,0.673206388
16,Ozone,0.484481999,0.361789514,0.393828872,0.516271903,0.474968935
17,INSECTS incremental-abrupt_imbalanced,0.249439953,0.260255229,0.270583873,0.347127641,0.388659324
17,INSECTS incremental_imbalanced,0.253660863,0.243984942,0.277655435,0.34165005,0.397326651
17,Keystroke,0.581265238,0.672391448,0.777436288,0.931875975,0.940603409
17,NOAA,0.550203815,0.588299515,0.623957386,0.651531741,0.673206388
17,Ozone,0.546161679,0.440146476,0.569627645,0.564889762,0.474968935
18,INSECTS incremental-abrupt_imbalanced,0.253265363,0.253231894,0.262755978,0.34443981,0.388659324
18,INSECTS incremental_imbalanced,0.242432868,0.2521071,0.251488972,0.33781914,0.397326651
18,Keystroke,0.582219224,0.678210715,0.768285197,0.926684425,0.940603409
18,NOAA,0.540479827,0.569533976,0.62326202,0.664209983,0.673206388
18,Ozone,0.373331025,0.488729964,0.566312962,0.496079699,0.474968935
19,INSECTS incremental-abrupt_imbalanced,0.269243075,0.262959644,0.281217956,0.346877592,0.388659324
19,INSECTS incremental_imbalanced,0.245581265,0.251041897,0.279476667,0.345465401,0.397326651
19,Keystroke,0.583263043,0.676244583,0.774504103,0.91234584,0.940603409
19,NOAA,0.557896128,0.581530453,0.615188572,0.659129677,0.673206388
19,Ozone,0.49600002,0.471891176,0.487620785,0.469394231,0.474968935
20,INSECTS incremental-abrupt_imbalanced,0.251981267,0.249097083,0.267314231,0.348245111,0.388659324
20,INSECTS incremental_imbalanced,0.252892948,0.246116264,0.278452392,0.340578474,0.397326651
20,Keystroke,0.55334324,0.623787471,0.80786703,0.910239011,0.940603409
20,NOAA,0.543387401,0.581195648,0.623751564,0.662588995,0.673206388
20,Ozone,0.421542578,0.53285796,0.453898004,0.466883933,0.474968935
21,INSECTS incremental-abrupt_imbalanced,0.257563111,0.253346326,0.279337721,0.351191317,0.388659324
21,INSECTS incremental_imbalanced,0.247869148,0.245418706,0.263368925,0.353210187,0.397326651
21,Keystroke,0.566044997,0.641047476,0.770263342,0.915021386,0.940603409
21,NOAA,0.546885452,0.559411775,0.617622468,0.670082238,0.673206388
21,Ozone,0.401777249,0.468146393,0.501100181,0.566940734,0.474968935
22,INSECTS incremental-abrupt_imbalanced,0.255806017,0.25002658,0.272041658,0.348499298,0.388659324
22,INSECTS incremental_imbalanced,0.255972465,0.256024003,0.277714464,0.352669459,0.397326651
22,Keystroke,0.586094538,0.635535938,0.76382385,0.900098924,0.940603409
22,NOAA,0.537162297,0.573783751,0.616565683,0.662186199,0.673206388
22,Ozone,0.424681212,0.447867111,0.49855398,0.491924671,0.474968935
23,INSECTS incremental-abrupt_imbalanced,0.248990013,0.260342649,0.274009862,0.344570313,0.388659324
23,INSECTS incremental_imbalanced,0.255298247,0.245729672,0.279134555,0.352079358,0.397326651
23,Keystroke,0.588059941,0.688139375,0.79186311,0.918158234,0.940603409
23,NOAA,0.540917668,0.571065121,0.635637641,0.660516271,0.673206388
23,Ozone,0.329753472,0.438067267,0.488052882,0.520855115,0.474968935
24,INSECTS incremental-abrupt_imbalanced,0.253412516,0.24960339,0.271257283,0.340536233,0.388659324
24,INSECTS incremental_imbalanced,0.259323844,0.258205043,0.282580867,0.343085918,0.397326651
24,Keystroke,0.604863984,0.630377539,0.827994861,0.927491605,0.940603409
24,NOAA,0.538226699,0.582634371,0.614831819,0.65297629,0.673206388
24,Ozone,0.328841289,0.445838685,0.494115883,0.59998419,0.474968935
25,INSECTS incremental-abrupt_imbalanced,0.260410157,0.252758129,0.263044433,0.348407109,0.388659324
25,INSECTS incremental_imbalanced,0.253797357,0.257636968,0.263594125,0.350086086,0.397326651
25,Keystroke,0.584090313,0.573559835,0.778880126,0.907437653,0.940603409
25,NOAA,0.548945108,0.580345824,0.624316743,0.665902411,0.673206388
25,Ozone,0.398038111,0.467949358,0.477480874,0.508258111,0.474968935
26,INSECTS incremental-abrupt_imbalanced,0.251244482,0.259205573,0.269249425,0.345848423,0.388659324
26,INSECTS incremental_imbalanced,0.2478178,0.241953685,0.263522511,0.352651828,0.397326651
26,Keystroke,0.544408917,0.658764499,0.792247096,0.922168845,0.940603409
26,NOAA,0.556712584,0.580577297,0.631047518,0.656676709,0.673206388
26,Ozone,0.449611037,0.458679414,0.508693396,0.41858503,0.474968935
27,INSECTS incremental-abrupt_imbalanced,0.259507917,0.260310799,0.268189168,0.344748162,0.388659324
27,INSECTS incremental_imbalanced,0.249845314,0.250901641,0.270046423,0.354732426,0.397326651
27,Keystroke,0.634129967,0.656227515,0.77565567,0.918664642,0.940603409
27,NOAA,0.56045673,0.57784602,0.628838051,0.658190814,0.673206388
27,Ozone,0.538612373,0.41464165,0.509149011,0.503853197,0.474968935
