Run,Dataset,LR_5,LR_10,LR_20,LR_50,LR_100
24,NOAA,0.530335555,0.563756652,0.576886398,0.65697857,0.673206388
24,Ozone,0.476337205,0.430694173,0.526925722,0.485630903,0.474968935
25,INSECTS incremental-abrupt_imbalanced,0.238917833,0.261829691,0.245814772,0.237086753,0.388659324
25,INSECTS incremental_imbalanced,0.258429644,0.254325286,0.202891199,0.140975782,0.397326651
25,Keystroke,0.549737125,0.677857726,0.808101158,0.684794435,0.940603409
25,NOAA,0.539597545,0.564682885,0.576154674,0.664807861,0.673206388
25,Ozone,0.476337205,0.430694173,0.526925722,0.485630903,0.474968935
26,INSECTS incremental-abrupt_imbalanced,0.251629667,0.258921829,0.244025048,0.237086753,0.388659324
26,INSECTS incremental_imbalanced,0.246452142,0.253359944,0.205993271,0.140975782,0.397326651
26,Keystroke,0.551070136,0.669397273,0.74264432,0.684794435,0.940603409
26,NOAA,0.514839675,0.598205873,0.576154674,0.65697857,0.673206388
26,Ozone,0.398216804,0.450062062,0.530672797,0.521537607,0.474968935
27,INSECTS incremental-abrupt_imbalanced,0.242604459,0.253502868,0.242342842,0.237086753,0.388659324
27,INSECTS incremental_imbalanced,0.258671007,0.248115518,0.201822281,0.140975782,0.397326651
27,Keystroke,0.522383044,0.703439806,0.808101158,0.684794435,0.940603409
27,NOAA,0.529426152,0.598205873,0.574929936,0.65697857,0.673206388
27,Ozone,0.298870132,0.450062062,0.530672797,0.521537607,0.474968935
28,INSECTS incremental-abrupt_imbalanced,0.246002339,0.253502868,0.245814772,0.237086753,0.388659324
28,INSECTS incremental_imbalanced,0.258429644,0.247064631,0.205993271,0.140975782,0.397326651
28,Keystroke,0.618715253,0.703439806,0.74264432,0.684794435,0.940603409
28,NOAA,0.525269049,0.598205873,0.564626106,0.664807861,0.673206388
28,Ozone,0.398216804,0.412111128,0.529621612,0.485630903,0.474968935
29,INSECTS incremental-abrupt_imbalanced,0.258644941,0.251056904,0.244025048,0.237086753,0.388659324
29,INSECTS incremental_imbalanced,0.235156016,0.243818076,0.201822281,0.140975782,0.397326651
29,Keystroke,0.522383044,0.703439806,0.794458979,0.684794435,0.940603409
29,NOAA,0.54789658,0.568087838,0.564626106,0.664807861,0.673206388
29,Ozone,0.484177342,0.529920032,0.530672797,0.485630903,0.474968935
